支社,駅,線名,lon,lat,2025/3/4,2025/3/5,2025/3/6,,,,,,,,,,,,,,,,,,3
高崎,水上,上越線,139,36.8,67,83,64,,,,,,,,,,,,,,,,,,4
高崎,土合,上越線,139,36.8,224,224,224,,,,,,,,,,,,,,,,,,5
高崎,土樽,上越線,138.9,36.9,240,226,211,,,,,,,,,,,,,,,,,,6
仙台,猪苗代,磐越西線,140.1,37.5,96,96,78,,,,,,,,,,,,,,,,,,7
仙台,只見,只見線,139.3,37.4,252,249,239,,,,,,,,,,,,,,,,,,8
仙台,会津宮下,只見線,139.6,37.5,100,103,94,,,,,,,,,,,,,,,,,,9
仙台,奥新川,仙山線,140.6,38.3,69,82,76,,,,,,,,,,,,,,,,,,10
仙台,峠,奥羽線,140.2,37.8,246,250,237,,,,,,,,,,,,,,,,,,11
仙台,米沢,奥羽線,140.1,37.9,126,126,119,,,,,,,,,,,,,,,,,,12
仙台,堺田,陸羽東線,140.6,38.7,106,115,107,,,,,,,,,,,,,,,,,,13
仙台,大石田,奥羽線,140.4,38.6,126,128,122,,,,,,,,,,,,,,,,,,14
仙台,真室川,奥羽線,140.3,38.9,76,78,74,,,,,,,,,,,,,,,,,,15
仙台,及位,奥羽線,140.4,39,157,162,157,,,,,,,,,,,,,,,,,,16
仙台,古口,陸羽西線,140.1,38.7,128,129,123,,,,,,,,,,,,,,,,,,17
仙台,赤岩,奥羽線,140.3,37.8,81,98,92,,,,,,,,,,,,,,,,,,18
仙台,板谷,奥羽線,140.3,37.8,194,208,203,,,,,,,,,,,,,,,,,,19
盛岡,ほっとゆだ,北上線,140.8,39.3,149,151,145,,,,,,,,,,,,,,,,,,20
盛岡,黒沢,北上線,140.7,39.3,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,21
盛岡,区界,山田線,141.4,39.7,51,60,67,,,,,,,,,,,,,,,,,,22
盛岡,安比高原,花輪線,141,40,86,90,111,,,,,,,,,,,,,,,,,,23
盛岡,田山,花輪線,140.9,40.1,78,80,86,,,,,,,,,,,,,,,,,,24
盛岡,鹿角花輪,花輪線,140.8,40.2,61,62,59,,,,,,,,,,,,,,,,,,25
盛岡,大館,奥羽線,140.6,40.3,25,26,20,,,,,,,,,,,,,,,,,,26
盛岡,侍浜,八戸線,141.8,40.3,0,6,9,,,,,,,,,,,,,,,,,,27
盛岡,大湊,大湊線,141.2,41.3,9,8,6,,,,,,,,,,,,,,,,,,28
盛岡,大平,津軽線,140.6,41.1,83,81,77,,,,,,,,,,,,,,,,,,29
盛岡,北野辺地,大湊線,141.1,40.9,25,29,25,,,,,,,,,,,,,,,,,,30
秋田,及位,奥羽線,140.4,39,157,162,157,,,,,,,,,,,,,,,,,,31
秋田,黒沢,北上線,140.7,39.3,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,32
秋田,湯沢,奥羽線,140.5,39.2,80,79,76,,,,,,,,,,,,,,,,,,33
秋田,及位（秋）,#N/A,#N/A,#N/A,0,0,0,,,,,,,,,,,,,,,,,,34
秋田,志度内,#N/A,140.7,39.7,142,149,149,,,,,,,,,,,,,,,,,,35
秋田,羽後境,奥羽線,140.3,39.6,58,64,55,,,,,,,,,,,,,,,,,,36
秋田,角館,田沢湖線,140.6,39.6,55,60,51,,,,,,,,,,,,,,,,,,37
秋田,陣場,奥羽線,140.6,40.4,97,97,95,,,,,,,,,,,,,,,,,,38
秋田,鷹ノ巣,奥羽線,140.4,40.2,33,35,31,,,,,,,,,,,,,,,,,,39
秋田,大館,奥羽線,140.6,40.3,25,26,20,,,,,,,,,,,,,,,,,,40
秋田,大釈迦,奥羽線,140.6,40.8,186,181,175,,,,,,,,,,,,,,,,,,41
秋田,碇ヶ関,奥羽線,140.6,40.5,102,97,95,,,,,,,,,,,,,,,,,,42
秋田,深浦,五能線,139.9,40.7,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,43
秋田,五所川原,五能線,140.4,40.8,86,88,83,,,,,,,,,,,,,,,,,,44
新潟,土樽,上越線,138.9,36.9,240,226,211,,,,,,,,,,,,,,,,,,45
新潟,塩沢,上越線,138.8,37,237,228,217,,,,,,,,,,,,,,,,,,46
新潟,六日町,上越線,138.9,37.1,175,170,165,,,,,,,,,,,,,,,,,,47
新潟,小出,上越線,139,37.2,154,152,146,,,,,,,,,,,,,,,,,,48
新潟,大白川,只見線,139.1,37.3,363,349,337,,,,,,,,,,,,,,,,,,49
新潟,越後川口,上越線,138.9,37.3,186,180,175,,,,,,,,,,,,,,,,,,50
新潟,塚山,信越線,138.7,37.4,126,124,120,,,,,,,,,,,,,,,,,,51
新潟,妙高高原,#N/A,#N/A,#N/A,0,0,0,,,,,,,,,,,,,,,,,,52
新潟,関山,#N/A,#N/A,#N/A,0,0,0,,,,,,,,,,,,,,,,,,53
新潟,脇野田,#N/A,#N/A,#N/A,0,0,0,,,,,,,,,,,,,,,,,,54
新潟,羽前沼沢,米坂線,139.9,38,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,55
新潟,小国,米坂線,139.8,38.1,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,,,,56
新潟,野沢,磐越西線,139.6,37.6,117,119,111,,,,,,,,,,,,,,,,,,57
新潟,津川,磐越西線,139.4,37.7,88,85,79,,,,,,,,,,,,,,,,,,58
新潟,津南,飯山線,138.6,37,279,274,267,,,,,,,,,,,,,,,,,,59
新潟,越後岩沢,飯山線,138.8,37.2,182,177,172,,,,,,,,,,,,,,,,,,60
新潟,宮内,上越線,138.8,37.4,3,0,0,,,,,,,,,,,,,,,,,,61
新潟,犀潟,信越線,138.3,37.2,21,0,0,,,,,,,,,,,,,,,,,,62
長野,津南,飯山線,138.6,37,279,274,267,,,,,,,,,,,,,,,,,,63
長野,越後岩沢,飯山線,138.8,37.2,182,177,172,,,,,,,,,,,,,,,,,,64
長野,簗場,大糸線,137.8,36.6,137,148,138,,,,,,,,,,,,,,,,,,65
長野,南小谷,大糸線,137.9,36.8,121,128,117,,,,,,,,,,,,,,,,,,66
長野,横倉,飯山線,138.6,37,256,246,240,,,,,,,,,,,,,,,,,,67
,,,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,,,,,,,,,,,,,,,,69
